Nom,Lien Profil,Image,Traits,Tags,Anime Associé,Manga Associé
Greed,https://www.anime-planet.com/characters/greed,https://cdn.anime-planet.com/characters/primary/greed-1-190x266.jpg?t=1625965993,"Male, Black Hair","Armor, Immortal, Selfish, Sunglasses, Superpowers",Fullmetal Alchemist,Fullmetal Alchemist
Allen WALKER,https://www.anime-planet.com/characters/allen-walker,https://cdn.anime-planet.com/characters/primary/allen-walker-1-130x203.jpg?t=1625965565,"Male, White Hair","Big Eater, Cursebearer, Demon Hunter, Exorcist, Orphan, Scar, Teenager",D.Gray-man,D.Gray-Man
Lan Wangji,https://www.anime-planet.com/characters/lan-wangji,https://cdn.anime-planet.com/characters/primary/lan-wangji-1-190x266.jpg?t=1626010464,"Male, Black Hair","Adult, Cultivator, Gay, Headband, Honorable Fighter, Kuudere, LGBT+, Martial Artist, Musician, Orphan, Scar, Seme, Stoic, Sword Fighter, Topknot",Mo Dao Zu Shi,Grandmaster of Demonic Cultivation: Mo Dao Zu Shi
Akame,https://www.anime-planet.com/characters/akame-akame-ga-kill,https://cdn.anime-planet.com/characters/primary/akame-akame-ga-kill-1-285x399.jpg?t=1629220807,"Female, Black Hair","Assassin, Big Eater, Poison User, Rapunzel Hair, Sister Complex, Stoic, Sword Fighter",Akame ga Kill!,Akame ga Kill!
Hideyoshi NAGACHIKA,https://www.anime-planet.com/characters/hideyoshi-nagachika,https://cdn.anime-planet.com/characters/primary/hideyoshi-nagachika-1-190x266.jpg?t=1625989960,"Male, Orange Hair","Analytical, Eternal Optimist, Part Time Employee, Teenager, University Student",Tokyo Ghoul,Tokyo Ghoul
Gin ICHIMARU,https://www.anime-planet.com/characters/gin-ichimaru,https://cdn.anime-planet.com/characters/primary/gin-ichimaru-1-190x266.jpg?t=1625965488,"Male, Grey Hair","Agent of the Afterlife, Closed Eyes, Kansai Dialect, Shinigami, Sword Fighter",Bleach,Bleach
Calcifer,https://www.anime-planet.com/characters/calcifer,https://cdn.anime-planet.com/characters/primary/calcifer-1-190x266.jpg?t=1625965924,Male,"Demon, Elemental Powers, Fire Powers",Howl's Moving Castle,Howl's Moving Castle
Yuki SOHMA,https://www.anime-planet.com/characters/yuki-sohma,https://cdn.anime-planet.com/characters/primary/yuki-sohma-1-190x266.jpg?t=1625966015,"Male, Grey Hair","Cursebearer, Deadly Chef, High School Student, Mouse / Rat, School Idol, Student Council, Teenager",Fruits Basket,Fruits Basket
Grell SUTCLIFFE,https://www.anime-planet.com/characters/grell-sutcliffe,https://cdn.anime-planet.com/characters/primary/grell-sutcliffe-1-285x399.webp?t=1661063572,"Female, Red Hair","Agent of the Afterlife, Butler, LGBT+, Masochistic, Rapunzel Hair, Shinigami, Transgender",Black Butler,Black Butler
Tetsuya KUROKO,https://www.anime-planet.com/characters/tetsuya-kuroko,https://cdn.anime-planet.com/characters/primary/tetsuya-kuroko-1-190x266.jpg?t=1625977309,"Male, Blue Hair","Analytical, Athlete, Basketball Player, High School Student, Stoic, Teenager",Kuroko's Basketball,Kuroko’s Basketball
Yui,https://www.anime-planet.com/characters/yui-angel-beats,https://cdn.anime-planet.com/characters/primary/yui-angel-beats-1-190x266.jpg?t=1625967854,"Female, Pink Hair","Band Member, Hair Antenna, Hair Ribbons, Hyperactive, Snaggletooth, Tail",Angel Beats!,Angel Beats! The 4-koma: Bokura no Sensen Koushinkyoku
Deidara,https://www.anime-planet.com/characters/deidara,https://cdn.anime-planet.com/characters/primary/deidara-1-285x399.webp?t=1667088054,"Male, Blonde Hair","Artist, Big Ego, Blinding Bangs, Earth Powers, Elemental Powers, Explosives Expert, Headband, Hot-Headed, Ninja, Ponytail, Verbal Tic",Naruto Shippuden,Naruto
Kento NANAMI,https://www.anime-planet.com/characters/kento-nanami,https://cdn.anime-planet.com/characters/primary/kento-nanami-1-190x266.jpg?t=1626010659,"Male, Blonde Hair","Adult, Exorcist, Sunglasses, Sword Fighter",Eve: Kaikai Kitan,Jujutsu Kaisen
Jellal FERNANDES,https://www.anime-planet.com/characters/jellal-fernandes,https://cdn.anime-planet.com/characters/primary/jellal-fernandes-1-190x267.jpg?t=1625965751,"Male, Blue Hair","Darkness Powers, Elemental Powers, Face Markings, Magic User",Fairy Tail,Fairy Tail
Mio AKIYAMA,https://www.anime-planet.com/characters/mio-akiyama,https://cdn.anime-planet.com/characters/primary/mio-akiyama-1-190x266.jpg?t=1625965194,"Female, Black Hair","Band Member, Bassist, Dandere, High School Student, Musician, School Idol, Shy, Singer, Teenager",K-On!,K-On!
Ray,https://www.anime-planet.com/characters/ray-the-promised-neverland,https://cdn.anime-planet.com/characters/primary/ray-the-promised-neverland-1-190x266.jpg?t=1626005774,"Male, Black Hair","Analytical, Blinding Bangs, Bookworm, Child, Child Prodigy, Orphan, Tattoo",The Promised Neverland,Oyakusoku no Neverland
Vash the Stampede,https://www.anime-planet.com/characters/vash-the-stampede,https://cdn.anime-planet.com/characters/primary/vash-the-stampede-1-190x277.jpg?t=1625965943,"Male, Blonde Hair","Anti-Gravity Hair, Big Eater, Birthmark / Mole, Gloves, Gunslinger, Human Guise, Pacifist, Piercings, Scar, Sunglasses, Twin",Kvi Baba: Tombi,Trigun
Usopp,https://www.anime-planet.com/characters/usopp,https://cdn.anime-planet.com/characters/primary/usopp-1-190x266.jpg?t=1625965217,"Male, Black Hair","Bandana, Big Nose, Cowardly, Goggles, Pirate, Sailor, Sniper, Suspenders, Teenager",ARASHI: A-RA-SHI : Reborn,Chopperman
Kei TSUKISHIMA,https://www.anime-planet.com/characters/kei-tsukishima,https://cdn.anime-planet.com/characters/primary/kei-tsukishima-1-190x266.jpg?t=1625991253,"Male, Blonde Hair","Athlete, Glasses, High School Student, Teenager, Volleyball Player",Haikyuu!!,Haikyuu!!
Kenshin HIMURA,https://www.anime-planet.com/characters/kenshin-himura,https://cdn.anime-planet.com/characters/primary/kenshin-himura-1-285x399.webp?t=1693145697,"Male, Red Hair","Adult, Honorable Fighter, Orphan, Ponytail, Samurai, Scar, Verbal Tic",Rurouni Kenshin,Rurouni Kenshin
Tsubaki NAKATSUKASA,https://www.anime-planet.com/characters/tsubaki-nakatsukasa,https://cdn.anime-planet.com/characters/primary/tsubaki-nakatsukasa-1-190x266.jpg?t=1625965740,"Female, Black Hair","Ninja, Ponytail, Shapeshifter, Teenager",Soul Eater,Soul Eater
Rin TOHSAKA,https://www.anime-planet.com/characters/rin-tohsaka,https://cdn.anime-planet.com/characters/primary/rin-tohsaka-1-190x266.jpg?t=1625966652,"Female, Black Hair","Hair Ribbons, High School Student, Magic User, Pigtails, Teenager, Tsundere",Carnival Phantasm,All Around Type-Moon: Ahnenerbe no Nichijou
Mafuyu SATO,https://www.anime-planet.com/characters/mafuyu-sato,https://cdn.anime-planet.com/characters/primary/mafuyu-sato-1-190x267.jpg?t=1626004977,"Male, Orange Hair","Airhead, Band Member, Gay, Guitarist, High School Student, LGBT+, Musician, Part Time Employee, Singer, Teenager",Given,Given
Akamaru,https://www.anime-planet.com/characters/akamaru,https://cdn.anime-planet.com/characters/primary/akamaru-1-285x399.webp?t=1726407392,"Male, Multicolored Hair","Animal, Closed Eyes, Dog, Ninja",Boruto: Naruto the Movie,Naruto
Brook,https://www.anime-planet.com/characters/brook,https://cdn.anime-planet.com/characters/primary/brook-1-190x266.jpg?t=1625965218,"Male, Black Hair","Afro, Hat, Musician, Pervert, Pirate, Sailor, Singer, Skeleton, Superpowers, Sword Fighter, Undead, Violinist",ARASHI: A-RA-SHI : Reborn,One Piece
Anya FORGER,https://www.anime-planet.com/characters/anya-forger,https://cdn.anime-planet.com/characters/primary/anya-forger-1-285x399.webp?t=1649527813,"Female, Pink Hair","Child, Orphan, Psychic Powers",Ayataka x SPY x FAMILY Movie Campaign: Ayataka de Hotto Hitoiki,SPY x FAMILY
Juvia LOXAR,https://www.anime-planet.com/characters/juvia-loxar,https://cdn.anime-planet.com/characters/primary/juvia-loxar-1-190x265.jpg?t=1625965753,"Female, Blue Hair","Elemental Powers, Hat, Magic User, Water Powers",Fairy Tail,Fairy Girls
Erwin SMITH,https://www.anime-planet.com/characters/erwin-smith,https://cdn.anime-planet.com/characters/primary/erwin-smith-1-190x266.jpg?t=1625973323,"Male, Blonde Hair","Adult, Analytical, Military, Sword Fighter",20-pun de Oitsukeru: Attack on Titan,Attack on Titan
Klein,https://www.anime-planet.com/characters/klein,https://cdn.anime-planet.com/characters/primary/klein-1-190x266.jpg?t=1625974540,"Male, Brown Hair","Adult, Armor, Bandana, Facial Hair, Person in a Strange World, Sword Fighter, Video Gamer, Warrior",Sword Art Online,Sword Art Online 4-koma
Toge INUMAKI,https://www.anime-planet.com/characters/toge-inumaki,https://cdn.anime-planet.com/characters/primary/toge-inumaki-1-190x265.jpg?t=1626010655,Male,"Exorcist, Face Markings, Teenager",Eve: Kaikai Kitan,Jujutsu Kaisen
Orochimaru,https://www.anime-planet.com/characters/orochimaru,https://cdn.anime-planet.com/characters/primary/orochimaru-1-285x399.webp?t=1727062556,"Male, Black Hair","Adult, Beastmaster, Manipulative, Necromancer, Ninja, Overly Long Tongue, Piercings, Ruthless",Boruto: Naruto Next Generations,Naruto
Victor NIKIFOROV,https://www.anime-planet.com/characters/victor-nikiforov,https://cdn.anime-planet.com/characters/primary/victor-nikiforov-1-190x266.jpg?t=1626003036,"Male, Grey Hair","Adult, Athlete, Blinding Bangs, Flirt, Gay, Ice Skater, LGBT+",Yuri!!! on Ice,Aucun manga
Tsuyu ASUI,https://www.anime-planet.com/characters/tsuyu-asui,https://cdn.anime-planet.com/characters/primary/tsuyu-asui-1-190x266.jpg?t=1625993004,"Female, Green Hair","High School Student, Overly Long Tongue, Superpowers, Teenager, Verbal Tic",My Hero Academia,My Hero Academia
Kon,https://www.anime-planet.com/characters/kon,https://cdn.anime-planet.com/characters/primary/kon-1-190x266.jpg?t=1625965232,Male,"Comic Relief, Cowardly, Pervert",Bleach,Bleach
Kenma KOZUME,https://www.anime-planet.com/characters/kenma-kozume,https://cdn.anime-planet.com/characters/primary/kenma-kozume-1-190x267.jpg?t=1625991525,"Male, Multicolored Hair","Analytical, Athlete, High School Student, Lazy, Stoic, Teenager, Video Gamer, Volleyball Player",Haikyuu!!,Haikyuu!!
Denki KAMINARI,https://www.anime-planet.com/characters/denki-kaminari,https://cdn.anime-planet.com/characters/primary/denki-kaminari-1-190x285.jpg?t=1625993027,"Male, Blonde Hair","Elemental Powers, High School Student, Lightning Powers, Superpowers, Teenager",My Hero Academia,My Hero Academia
Pain,https://www.anime-planet.com/characters/pain,https://cdn.anime-planet.com/characters/primary/pain-1-130x181.jpg?t=1625965466,"Male, Orange Hair","Beastmaster, Gravity Manipulator, Headband, Ninja, Piercings, Ruthless",Naruto Shippuden,Naruto
Shouko NISHIMIYA,https://www.anime-planet.com/characters/shouko-nishimiya,https://cdn.anime-planet.com/characters/primary/shouko-nishimiya-1-190x266.jpg?t=1625991975,"Female, Brown Hair","Deaf, Disabled",A Silent Voice,A Silent Voice
Akeno HIMEJIMA,https://www.anime-planet.com/characters/akeno-himejima,https://cdn.anime-planet.com/characters/primary/akeno-himejima-1-190x266.jpg?t=1625975957,"Female, Black Hair","Demon, Force Field Powers, Hair Ribbons, High School Student, Ponytail, Rapunzel Hair, Sadistic, Teenager",High School DxD,High School DxD
Jean KIRSCHTEIN,https://www.anime-planet.com/characters/jean-kirschtein,https://cdn.anime-planet.com/characters/primary/jean-kirschtein-1-190x266.jpg?t=1625972798,"Male, Brown Hair","Hot-Headed, Military, Sword Fighter",Attack on Skytree,Attack on Titan
Shigure SOHMA,https://www.anime-planet.com/characters/shigure-sohma,https://cdn.anime-planet.com/characters/primary/shigure-sohma-1-190x266.jpg?t=1625966016,"Male, Black Hair","Adult, Cursebearer, Flirt, Mischievous, Pervert, Smoker, Writer",Fruits Basket,Fruits Basket
Orihime INOUE,https://www.anime-planet.com/characters/orihime-inoue,https://cdn.anime-planet.com/characters/primary/orihime-inoue-1-190x266.jpg?t=1625965225,"Female, Orange Hair","Broken Record, Clumsy, Force Field Powers, Healing Powers, High School Student, Superpowers, Teenager",Bleach,Bleach
Neliel Tu ODELSCHWANCK,https://www.anime-planet.com/characters/neliel-tu-odelschwanck,https://cdn.anime-planet.com/characters/primary/neliel-tu-odelschwanck-1-130x194.jpg?t=1625965501,"Female, Turquoise Hair","Healing Powers, Masks, Scar, Verbal Tic",Bleach,Bleach
Loke,https://www.anime-planet.com/characters/loke,https://cdn.anime-planet.com/characters/primary/loke-1-190x266.jpg?t=1625965751,"Male, Orange Hair","Elemental Powers, Flirt, Light Powers, Magic User, Sunglasses",Fairy Tail,Fairy Girls
Hatsuharu SOHMA,https://www.anime-planet.com/characters/hatsuharu-sohma,https://cdn.anime-planet.com/characters/primary/hatsuharu-sohma-1-190x266.jpg?t=1625966018,"Male, Multicolored Hair","Cursebearer, High School Student, Martial Artist, No Sense of Direction, Piercings, Split Personality, Tattoo, Teenager",Fruits Basket,Fruits Basket
Kuro,https://www.anime-planet.com/characters/kuro-blue-exorcist,https://cdn.anime-planet.com/characters/primary/kuro-blue-exorcist-1-285x400.webp?t=1653350822,"Male, Multicolored Hair","Cat, Demon, Horns, Nekomata, Shapeshifter, Tail, Youkai",Blue Exorcist,Blue Exorcist
Wendy MARVELL,https://www.anime-planet.com/characters/wendy-marvell,https://cdn.anime-planet.com/characters/primary/wendy-marvell-1-190x267.jpg?t=1625970729,"Female, Blue Hair","Elemental Powers, Healing Powers, Magic User, Orphan, Wind Powers",Fairy Tail,Fairy Girls
Piccolo,https://www.anime-planet.com/characters/piccolo,https://cdn.anime-planet.com/characters/primary/piccolo-1-190x267.jpg?t=1625966190,Male,"Alien, Cape, Healing Powers, Martial Artist, Pointy Ears, Turban",Dragon Ball,Cross Epoch
Sawako KURONUMA,https://www.anime-planet.com/characters/sawako-kuronuma,https://cdn.anime-planet.com/characters/primary/sawako-kuronuma-1-190x266.jpg?t=1625965357,"Female, Black Hair","Crybaby, Dandere, Shy, Teenager, Yamato Nadeshiko",Kimi ni Todoke - From Me To You,Kimi ni Todoke: From Me to You
Yuki NAGATO,https://www.anime-planet.com/characters/yuki-nagato,https://cdn.anime-planet.com/characters/primary/yuki-nagato-1-190x266.jpg?t=1625965378,"Female, Purple Hair","Bookworm, Hacker, High School Student, Kuudere, Stoic",Melancholy of Haruhi-chan Suzumiya,Haruhi Suzumiya Series (Light Novel)
Kusuo SAIKI,https://www.anime-planet.com/characters/kusuo-saiki,https://cdn.anime-planet.com/characters/primary/kusuo-saiki-1-285x401.webp?t=1651602253,"Male, Magenta Hair","High School Student, Psychic Powers, Stoic, Sunglasses, Superpowers, Sweet Tooth, Teenager",The Disastrous Life of Saiki K.,Saiki Kusuo no Ψ Nan
Guts,https://www.anime-planet.com/characters/guts,https://cdn.anime-planet.com/characters/primary/guts-1-190x262.jpg?t=1625966053,"Male, Black Hair","Adult, Armor, Mercenary, Muscular, Orphan, Oversized Weapon, Scar, Sword Fighter, Warrior",Berserk,Berserk
Izumi MIYAMURA,https://www.anime-planet.com/characters/izumi-miyamura,https://cdn.anime-planet.com/characters/primary/izumi-miyamura-1-190x266.jpg?t=1625980460,"Male, Black Hair","Glasses, High School Student, Piercings, Tattoo, Teenager",Horimiya,Horimiya
Yui HIRASAWA,https://www.anime-planet.com/characters/yui-hirasawa,https://cdn.anime-planet.com/characters/primary/yui-hirasawa-1-190x266.jpg?t=1625965194,"Female, Brown Hair","Airhead, Band Member, Big Eater, Clumsy, Guitarist, High School Student, Musician, Singer, Sweet Tooth, Teenager",K-On!,K-On!
Asuma SARUTOBI,https://www.anime-planet.com/characters/asuma-sarutobi,https://cdn.anime-planet.com/characters/primary/asuma-sarutobi-1-285x399.webp?t=1725334013,"Male, Brown Hair","Adult, Facial Hair, Headband, Ninja, Smoker",Naruto,"Boruto: Road to ""B"""
Sesshomaru,https://www.anime-planet.com/characters/sesshomaru,https://cdn.anime-planet.com/characters/primary/sesshomaru-1-285x399.webp?t=1686977440,"Male, White Hair","Armor, Face Markings, Pointy Ears, Poison User, Rapunzel Hair, Shapeshifter, Stoic, Sword Fighter, Youkai",InuYasha,3.11 wo Wasurenai Tame ni: Heroes Comeback
Ryuuko MATOI,https://www.anime-planet.com/characters/ryuuko-matoi,https://cdn.anime-planet.com/characters/primary/ryuuko-matoi-1-190x292.jpg?t=1625989826,"Female, Multicolored Hair","Biker, Frequently-Naked, High School Student, Orphan, Sword Fighter, Teenager, Transfer Student, Vengeful",Kill La Kill,Kill la Kill
Homura AKEMI,https://www.anime-planet.com/characters/homura-akemi,https://cdn.anime-planet.com/characters/primary/homura-akemi-1-285x399.webp?t=1644536937,"Female, Black Hair","Headband, Magical Girl, Middle School Student, Shield Wielder, Teenager, Time Manipulator, Transfer Student, Weapon Master",ClariS: Luminous,Oideyo! Magicado Shoten
T.K.,https://www.anime-planet.com/characters/tk,https://cdn.anime-planet.com/characters/primary/tk-1-190x266.jpg?t=1625967784,"Male, Blonde Hair","Bandana, Dancer, Hair Antenna, Piercings",Angel Beats!,Angel Beats! Heaven's Door
Yukine,https://www.anime-planet.com/characters/yukine-noragami,https://cdn.anime-planet.com/characters/primary/yukine-noragami-1-190x266.jpg?t=1625990660,"Male, Blonde Hair","Ghost, Magical Familiar, Shapeshifter",Noragami,Noragami: Stray God
Souma YUKIHIRA,https://www.anime-planet.com/characters/souma-yukihira,https://cdn.anime-planet.com/characters/primary/souma-yukihira-1-190x265.jpg?t=1625980872,"Male, Red Hair","Cook, Headband, High School Student, Scar, Teenager, Transfer Student",Food Wars! Jump Festa 2015 Special,Food Wars! Shokugeki no Souma
Zero Two,https://www.anime-planet.com/characters/zero-two,https://cdn.anime-planet.com/characters/primary/zero-two-1-190x266.jpg?t=1626008146,"Female, Pink Hair","Headband, Horns, Mecha Pilot, Sweet Tooth",DARLING in the FRANXX,DARLING in the FRANXX
Kiba INUZUKA,https://www.anime-planet.com/characters/kiba-inuzuka,https://cdn.anime-planet.com/characters/primary/kiba-inuzuka-1-285x399.webp?t=1725544651,"Male, Brown Hair","Beastmaster, Face Markings, Headband, Ninja",Boruto: Naruto Next Generations,Naruto
Yor FORGER,https://www.anime-planet.com/characters/yor-forger,https://cdn.anime-planet.com/characters/primary/yor-forger-1-285x400.webp?t=1671362041,"Female, Black Hair","Adult, Assassin, Deadly Chef, Headband, Orphan, Secret Identity",Ayataka x SPY x FAMILY Movie Campaign: Ayataka de Hotto Hitoiki,SPY x FAMILY
Akio FURUKAWA,https://www.anime-planet.com/characters/akio-furukawa,https://cdn.anime-planet.com/characters/primary/akio-furukawa-1-190x266.jpg?t=1625965425,"Male, Red Hair","Adult, Cook, Hair Antenna, Hot-Headed, Merchant, Smoker",Clannad,Clannad
Blair,https://www.anime-planet.com/characters/blair,https://cdn.anime-planet.com/characters/primary/blair-1-190x266.jpg?t=1625965742,"Female, Purple Hair","Animal, Cat, Flirt, Frequently-Naked, Magic User, Scantily-clad, Shapeshifter, Witch",Soul Eater,Soul Eater
Envy,https://www.anime-planet.com/characters/envy,https://cdn.anime-planet.com/characters/primary/envy-1-190x267.jpg?t=1625965990,Green Hair,"Cruel, Gloves, Headband, Hot-Headed, Human Guise, Immortal, Sadistic, Shapeshifter, Superpowers",Fullmetal Alchemist,Fullmetal Alchemist
Shiro,https://www.anime-planet.com/characters/shiro,https://cdn.anime-planet.com/characters/primary/shiro-1-190x285.jpg?t=1625972864,"Female, White Hair","Airhead, Blood Power, Hair Antenna, Scar, Sweet Tooth",Deadman Wonderland,Deadman Wonderland
Fumikage TOKOYAMI,https://www.anime-planet.com/characters/fumikage-tokoyami,https://cdn.anime-planet.com/characters/primary/fumikage-tokoyami-1-190x266.jpg?t=1625993023,"Male, Black Hair","Darkness Powers, Elemental Powers, High School Student, Superpowers, Teenager",My Hero Academia,My Hero Academia
Kyuubi,https://www.anime-planet.com/characters/kyuubi,https://cdn.anime-planet.com/characters/primary/kyuubi-1-285x399.webp?t=1727884148,"Male, Orange Hair","Kitsune, Monster, Sharp Teeth, Tail",Boruto: Naruto Next Generations,Boruto
Haku,https://www.anime-planet.com/characters/haku-spirited-away,https://cdn.anime-planet.com/characters/primary/haku-spirited-away-1-190x266.jpg?t=1625965919,"Male, Black Hair",Magic User,Iblard Jikan,Spirited Away
Temari,https://www.anime-planet.com/characters/temari,https://cdn.anime-planet.com/characters/primary/temari-1-285x399.webp?t=1725374672,"Female, Blonde Hair","Beastmaster, Bossy, Elemental Powers, Gloves, Ninja, Oversized Weapon, Pigtails, Wind Powers",Boruto: Naruto Next Generations,Boruto
Tomoyo SAKAGAMI,https://www.anime-planet.com/characters/tomoyo-sakagami,https://cdn.anime-planet.com/characters/primary/tomoyo-sakagami-1-190x266.jpg?t=1625965425,"Female, Grey Hair","Headband, Kuudere, Martial Artist, Tomboy",Clannad,Clannad
Shinobu OSHINO,https://www.anime-planet.com/characters/shinobu-oshino,https://cdn.anime-planet.com/characters/primary/shinobu-oshino-1-190x266.jpg?t=1625965332,"Female, Blonde Hair","Immortal, Pointy Ears, Sweet Tooth, Vampire",Bakemonogatari,Amarimonogatari (Light Novel)
Mikoto MISAKA,https://www.anime-planet.com/characters/mikoto-misaka,https://cdn.anime-planet.com/characters/primary/mikoto-misaka-1-285x399.webp?t=1722011219,"Female, Brown Hair","Elemental Powers, Hot-Headed, Lightning Powers, Middle School Student, Psychic Powers, Superpowers, Teenager, Tomboy, Tsundere",A Certain Magical Index,A Certain Everyday Index-san
Ash KETCHUM,https://www.anime-planet.com/characters/ash-ketchum,https://cdn.anime-planet.com/characters/primary/ash-ketchum-1-190x266.jpg?t=1625966304,"Male, Black Hair","Big Ego, Child, Face Markings, Gloves, Hat, Hot-Headed, Hyperactive, Monster Tamer, Traveler","Arceus, the One Called God",Gekijouban Pocket Monster Advanced Generation: Nanayo no Negaiboshi Jirachi
Hideki HINATA,https://www.anime-planet.com/characters/hideki-hinata,https://cdn.anime-planet.com/characters/primary/hideki-hinata-1-190x266.jpg?t=1625967857,"Male, Blue Hair","Athlete, Baseball Player",Angel Beats!,Angel Beats! Heaven's Door
Suzaku KURURUGI,https://www.anime-planet.com/characters/suzaku-kururugi,https://cdn.anime-planet.com/characters/primary/suzaku-kururugi-1-190x266.jpg?t=1625965655,"Male, Brown Hair","High School Student, Martial Artist, Mecha Pilot, Military, Student Council, Teenager",Code Geass: Akito the Exiled,Barcode Geass: Hanbai no Lelouch
Scar,https://www.anime-planet.com/characters/scar,https://cdn.anime-planet.com/characters/primary/scar-1-190x266.jpg?t=1625965983,"Male, White Hair","Adult, Alchemist, Dark-skinned, Muscular, Scar, Tattoo, Vengeful",Fullmetal Alchemist,Fullmetal Alchemist
Ritsuka UENOYAMA,https://www.anime-planet.com/characters/ritsuka-uenoyama,https://cdn.anime-planet.com/characters/primary/ritsuka-uenoyama-1-190x266.jpg?t=1626004977,"Male, Black Hair","Athlete, Band Member, Basketball Player, Guitarist, High School Student, LGBT+, Musician, Part Time Employee, Teenager",Given,Given
Loid FORGER,https://www.anime-planet.com/characters/loid-forger,https://cdn.anime-planet.com/characters/primary/loid-forger-1-285x399.webp?t=1654387994,"Male, Blonde Hair","Adult, Analytical, Gloves, Orphan, Photographic Memory, Secret Identity, Spy",Ayataka x SPY x FAMILY Movie Campaign: Ayataka de Hotto Hitoiki,SPY x FAMILY
Emma,https://www.anime-planet.com/characters/emma-the-promised-neverland,https://cdn.anime-planet.com/characters/primary/emma-the-promised-neverland-1-190x266.jpg?t=1626005773,"Female, Orange Hair","Child, Child Prodigy, Eternal Optimist, Hair Antenna, Orphan, Pacifist, Tattoo",The Promised Neverland,Oyakusoku no Neverland
Excalibur,https://www.anime-planet.com/characters/excalibur,https://cdn.anime-planet.com/characters/primary/excalibur-1-130x200.jpg?t=1625965241,Male,"Big Ego, Comic Relief, Hat, Shapeshifter",Soul Eater,Soul Eater
Kyon,https://www.anime-planet.com/characters/kyon,https://cdn.anime-planet.com/characters/primary/kyon-1-190x266.jpg?t=1625965378,"Male, Brown Hair","High School Student, Teenager",Melancholy of Haruhi-chan Suzumiya,Haruhi Suzumiya Series (Light Novel)
Truck-kun,https://www.anime-planet.com/characters/truck-kun,https://cdn.anime-planet.com/characters/primary/truck-kun-1-190x266.jpg?t=1626015471,,,801 T.T.S. Airbats,1-nen A-gumi no Monster
Ling YAO,https://www.anime-planet.com/characters/ling-yao,https://cdn.anime-planet.com/characters/primary/ling-yao-1-190x266.jpg?t=1625966014,"Male, Black Hair","Closed Eyes, Foreigner, Martial Artist, Ponytail, Royalty, Sword Fighter, Teenager",Fullmetal Alchemist: Brotherhood,Fullmetal Alchemist
Azusa NAKANO,https://www.anime-planet.com/characters/azusa-nakano,https://cdn.anime-planet.com/characters/primary/azusa-nakano-1-190x266.jpg?t=1625965195,"Female, Black Hair","Band Member, Guitarist, High School Student, Musician, Pigtails, Teenager",K-On!,K-On!
Shunsui KYORAKU,https://www.anime-planet.com/characters/shunsui-kyoraku,https://cdn.anime-planet.com/characters/primary/shunsui-kyoraku-1-190x266.jpg?t=1625965229,"Male, Brown Hair","Agent of the Afterlife, Dual Wielder, Facial Hair, Flirt, Hat, Heavy Drinker, Lazy, Shinigami, Sword Fighter",Bleach,Bleach
Hiyori IKI,https://www.anime-planet.com/characters/hiyori-iki,https://cdn.anime-planet.com/characters/primary/hiyori-iki-1-190x266.jpg?t=1625990599,"Female, Brown Hair","High School Student, Psychic Powers, Spirit Seer, Superpowers, Teenager, Wealthy",Noragami,Noragami: Stray God
Fuuko IBUKI,https://www.anime-planet.com/characters/fuuko-ibuki,https://cdn.anime-planet.com/characters/primary/fuuko-ibuki-1-190x266.jpg?t=1625965418,"Female, Green Hair","Airhead, Clumsy",Clannad,Clannad
Joseph JOESTAR,https://www.anime-planet.com/characters/joseph-joestar,https://cdn.anime-planet.com/characters/primary/joseph-joestar-1-190x266.jpg?t=1625971431,"Male, Brown Hair","Gloves, Hot-Headed, Muscular",JoJo's Bizarre Adventure,JoJo's Bizarre Adventure (Light Novel)
Ryunosuke TANAKA,https://www.anime-planet.com/characters/ryunosuke-tanaka,https://cdn.anime-planet.com/characters/primary/ryunosuke-tanaka-1-190x267.jpg?t=1625990150,"Male, Black Hair","Airhead, Athlete, Buzz Cut, High School Student, Hot-Headed, Teenager, Volleyball Player",Haikyuu!!,Haikyuu!!
Norman,https://www.anime-planet.com/characters/norman-the-promised-neverland,https://cdn.anime-planet.com/characters/primary/norman-the-promised-neverland-1-190x266.jpg?t=1626005774,"Male, White Hair","Analytical, Board Game Player, Child, Child Prodigy, Orphan, Tattoo",The Promised Neverland,Oyakusoku no Neverland
Decim,https://www.anime-planet.com/characters/decim,https://cdn.anime-planet.com/characters/primary/decim-1-190x291.jpg?t=1625980726,"Male, White Hair","Agent of the Afterlife, Bartender, Blinding Bangs, Bow Tie, Exotic Eyes, High Stakes Game Master, Razor Floss, Stoic",Death Billiards,Aucun manga
Masaomi KIDA,https://www.anime-planet.com/characters/masaomi-kida,https://cdn.anime-planet.com/characters/primary/masaomi-kida-1-190x266.jpg?t=1625966722,"Male, Brown Hair","Flirt, High School Student, Piercings, Teenager",Durarara!!,Durarara!!
Haruka NANASE,https://www.anime-planet.com/characters/haruka-nanase-free-iwatobi-swim-club,https://cdn.anime-planet.com/characters/primary/haruka-nanase-free-iwatobi-swim-club-1-190x266.jpg?t=1625981502,"Male, Black Hair","Athlete, Stoic, Swimmer, Teenager",Free! Dive to the Future,High Speed!
